episode,reward,original_reward,steps,crashed,avg_speed,collision_count,tailgating_count,unsafe_lane_change_count,overspeed_count
0,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
1,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
2,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
3,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
4,11.025681837921905,21.025681837921898,30,False,20.032102297402385,0,1,0,0
5,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
6,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
7,-59.974318162078085,20.02568183792191,30,False,20.032102297402385,0,8,0,0
8,-77.97431816207808,22.02568183792192,30,False,20.032102297402385,0,10,0,0
9,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
10,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
11,-49.974318162078106,20.02568183792191,30,False,20.032102297402385,0,7,0,0
12,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
13,11.025681837921905,21.025681837921898,30,False,20.032102297402385,0,1,0,0
14,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
15,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
16,-203.30765149572153,6.692348504278472,11,True,19.462278993064395,1,11,0,0
17,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
18,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
19,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
20,11.025681837921905,21.025681837921898,30,False,20.032102297402385,0,1,0,0
21,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
22,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
23,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
24,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
25,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
26,-277.9743181620779,22.02568183792192,30,False,20.032102297402385,0,30,0,0
27,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
28,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
29,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
30,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
31,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
32,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
33,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
34,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
35,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
36,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
37,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
38,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
39,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
40,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
41,-29.974318162078106,20.02568183792191,30,False,20.032102297402385,0,5,0,0
42,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
43,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
44,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
45,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
46,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
47,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
48,10.025681837921908,20.02568183792191,30,False,20.032102297402385,0,1,0,0
49,21.025681837921898,21.025681837921898,30,False,20.032102297402385,0,0,0,0
50,20.02568183792191,20.02568183792191,30,False,20.032102297402385,0,0,0,0
51,-257.9743181620779,22.02568183792192,30,False,20.032102297402385,0,28,0,0
52,-9.974318162078095,20.02568183792191,30,False,20.032102297402385,0,3,0,0
53,-279.97431816207813,20.02568183792191,30,False,20.032102297402385,0,30,0,0
54,22.02568183792192,22.02568183792192,30,False,20.032102297402385,0,0,0,0
55,-189.97431816207822,20.02568183792191,30,False,20.032102297402385,0,21,0,0
