model,lambda,seed,episode,reward,original_reward,collision,success,tailgating_count,tailgating_rate,unsafe_lane_change_count,unsafe_lane_change_rate,lane_changes,speed,survival_time,safety_violation_score
Baseline PPO,0.0,42,0,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,1,21.025681837921898,21.025681837921898,0,1,11,0.3666666666666666,0,0.0,0,20.032102297402385,30,0.3666666666666666
Baseline PPO,0.0,42,2,22.02568183792192,22.02568183792192,0,1,4,0.1333333333333333,0,0.0,0,20.032102297402385,30,0.1333333333333333
Baseline PPO,0.0,42,3,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,4,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,5,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,6,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,7,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,8,22.02568183792192,22.02568183792192,0,1,3,0.1,0,0.0,0,20.032102297402385,30,0.1
Baseline PPO,0.0,42,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,10,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,11,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,12,20.02568183792191,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Baseline PPO,0.0,42,13,22.02568183792192,22.02568183792192,0,1,11,0.3666666666666666,0,0.0,0,20.032102297402385,30,0.3666666666666666
Baseline PPO,0.0,42,14,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,15,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,16,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,17,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,42,18,20.02568183792191,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
Baseline PPO,0.0,42,19,21.025681837921898,21.025681837921898,0,1,5,0.1666666666666666,0,0.0,0,20.032102297402385,30,0.1666666666666666
Baseline PPO,0.0,123,0,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,1,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,2,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,3,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,4,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,5,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,6,21.025681837921898,21.025681837921898,0,1,2,0.0666666666666666,0,0.0,0,20.032102297402385,30,0.0666666666666666
Baseline PPO,0.0,123,7,16.959015171255245,16.959015171255245,1,0,13,0.5416666666666666,0,0.0,0,19.698869538419647,24,10.541666666666666
Baseline PPO,0.0,123,8,21.025681837921898,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Baseline PPO,0.0,123,9,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,11,22.02568183792192,22.02568183792192,0,1,29,0.9666666666666668,0,0.0,0,20.032102297402385,30,0.9666666666666668
Baseline PPO,0.0,123,12,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,123,13,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,14,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,15,21.025681837921898,21.025681837921898,0,1,1,0.0333333333333333,0,0.0,0,20.032102297402385,30,0.0333333333333333
Baseline PPO,0.0,123,16,21.025681837921898,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Baseline PPO,0.0,123,17,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Baseline PPO,0.0,123,19,20.02568183792191,20.02568183792191,0,1,30,1.0,0,0.0,0,20.032102297402385,30,1.0
