model,lambda,episode,steps,lane_changes,collision,tailgating_rate,unsafe_lane_change_rate,progress_reward,collision_penalty,tailgating_penalty,lane_change_penalty,speed_penalty,net_reward
Baseline PPO,0.0,0,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,1,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,2,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,3,30,0,0,0.2,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,4,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,5,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,6,30,0,0,0.0333333333333333,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,7,30,0,0,0.0333333333333333,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,8,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,9,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,10,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,11,30,0,0,0.9333333333333332,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,12,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,13,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,14,30,0,0,0.1,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,15,30,0,0,0.0333333333333333,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,16,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,17,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,18,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,19,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,20,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,21,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,22,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,23,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,24,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,25,30,0,0,1.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,26,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,27,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,28,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,29,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,30,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,31,30,0,0,0.2666666666666666,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,32,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,33,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,34,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,35,30,0,0,0.0666666666666666,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,36,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,37,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,38,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,39,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Baseline PPO,0.0,40,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,41,30,0,0,0.0333333333333333,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,42,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,43,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,44,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,45,30,0,0,0.0666666666666666,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,46,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,47,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Baseline PPO,0.0,48,30,0,0,0.1,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Baseline PPO,0.0,49,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,0,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,1,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,2,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,3,30,0,0,0.2,0.0,20.02568183792191,0.0,3.0,0.0,0.0,17.0256818379219
Safe PPO,0.1,4,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,5,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,6,30,0,0,0.0333333333333333,0.0,21.025681837921898,0.0,0.5,0.0,0.0,20.525681837921898
Safe PPO,0.1,7,30,0,0,0.0333333333333333,0.0,20.02568183792191,0.0,0.5,0.0,0.0,19.525681837921912
Safe PPO,0.1,8,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,9,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,10,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,11,30,0,0,0.9333333333333332,0.0,20.02568183792191,0.0,14.0,0.0,0.0,6.025681837921909
Safe PPO,0.1,12,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,13,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,14,30,0,0,0.1,0.0,21.025681837921898,0.0,1.5,0.0,0.0,19.525681837921898
Safe PPO,0.1,15,30,0,0,0.0333333333333333,0.0,21.025681837921898,0.0,0.5,0.0,0.0,20.525681837921898
Safe PPO,0.1,16,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,17,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,18,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,19,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,20,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,21,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,22,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,23,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,24,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,25,30,0,0,1.0,0.0,22.02568183792192,0.0,15.0,0.0,0.0,7.025681837921906
Safe PPO,0.1,26,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,27,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,28,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,29,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,30,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,31,30,0,0,0.2666666666666666,0.0,22.02568183792192,0.0,4.0,0.0,0.0,18.025681837921915
Safe PPO,0.1,32,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,33,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,34,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,35,30,0,0,0.0666666666666666,0.0,20.02568183792191,0.0,1.0,0.0,0.0,19.02568183792191
Safe PPO,0.1,36,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,37,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,38,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,39,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
Safe PPO,0.1,40,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,41,30,0,0,0.0333333333333333,0.0,22.02568183792192,0.0,0.5,0.0,0.0,21.52568183792192
Safe PPO,0.1,42,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,43,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.1,44,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,8.0,0.0,0.0,12.025681837921905
Safe PPO,0.1,45,30,0,0,0.0666666666666666,0.0,22.02568183792192,0.0,1.0,0.0,0.0,21.02568183792192
Safe PPO,0.1,46,30,0,0,0.5333333333333333,0.0,20.02568183792191,0.0,8.0,0.0,0.0,12.0256818379219
Safe PPO,0.1,47,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.1,48,30,0,0,0.1,0.0,22.02568183792192,0.0,1.5,0.0,0.0,20.52568183792192
Safe PPO,0.1,49,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,0,30,0,0,0.0,0.0,20.02568183792191,0.0,0.0,0.0,0.0,20.02568183792191
Safe PPO,0.5,1,30,0,0,0.0,0.0,22.02568183792192,0.0,0.0,0.0,0.0,22.02568183792192
Safe PPO,0.5,2,30,0,0,0.0,0.0,21.025681837921898,0.0,0.0,0.0,0.0,21.025681837921898
